author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
ID 413522,realtor,https://www.cian.ru/sale/flat/301734984/,Москва,sale,flat,7,12,2,78.0,102999000,Хамовники, Ефремова,10,Фрунзенская,Садовые кварталы
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/300822469/,Москва,sale,flat,3,21,2,51.0,52000000,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
ФЛИП,real_estate_agent,https://www.cian.ru/sale/flat/301037762/,Москва,sale,flat,8,9,2,44.0,10000000,Головинский, Лавочкина,16К1,Речной вокзал,
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/276019027/,Москва,sale,flat,6,6,2,130.0,58000000,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
SKYEST,real_estate_agent,https://www.cian.ru/sale/flat/297805133/,Москва,sale,flat,7,12,2,78.0,104900000,Хамовники, Ефремова,10с1к4/2,Фрунзенская,Садовые кварталы
OPN PARTNER,real_estate_agent,https://www.cian.ru/sale/flat/301521883/,Москва,sale,flat,6,12,2,57.0,10400000,, Харлампиева,44,Филатов Луг,Спортивный квартал
ID 413522,realtor,https://www.cian.ru/sale/flat/301734996/,Москва,sale,flat,7,14,2,95.0,166990000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
ID 413522,realtor,https://www.cian.ru/sale/flat/301735020/,Москва,sale,flat,10,21,2,54.0,61800000,Пресненский,2-я Звенигородская ,14,Улица 1905 года,Lucky
ОГРК,real_estate_agent,https://www.cian.ru/sale/flat/301119738/,Москва,sale,flat,12,17,2,53.0,9200000,Крюково,Зеленоград,к1546,Зеленоград — Крюково,
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/298050405/,Москва,sale,flat,7,9,2,108.3,194940000,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
ID 25751693,realtor,https://www.cian.ru/sale/flat/299894208/,Москва,sale,flat,12,12,2,77.4,34868700,Таганский, Рогожский Вал,10,Площадь Ильича,Рогожский вал 12
ID 13184731,realtor,https://www.cian.ru/sale/flat/301310331/,Москва,sale,flat,6,14,2,43.0,13700000,Люблино,Высотный проезд,4,Люблино,
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/295277285/,Москва,sale,flat,6,6,2,122.3,68000000,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
ID 111240424,homeowner,https://www.cian.ru/sale/flat/300143306/,Москва,sale,flat,38,52,2,63.0,36000000,Пресненский,Шмитовский проезд,39к1,Шелепиха,Headliner
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/296564566/,Москва,sale,flat,4,5,2,44.3,5600000,,,5,Подольск,
ID 109135729,realtor,https://www.cian.ru/sale/flat/300650875/,Москва,sale,flat,3,21,2,51.0,52000000,Пресненский,2-я Звенигородская ,12С19,Улица 1905 года,Lucky
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301897394/,Москва,sale,flat,3,5,2,69.3,52000000,Хорошевский,Ленинградский проспект,37/5,Аэропорт,Прайм Парк
ОГРК,real_estate_agent,https://www.cian.ru/sale/flat/298979500/,Москва,sale,flat,8,9,2,43.2,6600000,,,22,Апрелевка,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301565559/,Москва,sale,flat,5,21,2,117.0,120000000,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/272186797/,Москва,sale,flat,11,24,2,46.5,21900000,Головинский,Головинское шоссе,11,Водный стадион,Талисман на Водном
Виктория Яковлева,realtor,https://www.cian.ru/sale/flat/301149472/,Москва,sale,flat,6,9,2,40.0,15999000,Тимирязевский,Дмитровское шоссе,19К2,Тимирязевская,
ID 86900871,realtor,https://www.cian.ru/sale/flat/297947020/,Москва,sale,flat,2,3,2,46.3,56000000,Басманный, Маросейка,11/4С1,Китай-город,
Life Style,real_estate_agent,https://www.cian.ru/sale/flat/294212104/,Москва,sale,flat,34,78,2,76.1,62000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
Маленков недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300102336/,Москва,sale,flat,8,9,2,40.0,14400000,Хорошево-Мневники,Карамышевская набережная,32/2,Народное Ополчение,
Choice Estate,real_estate_agent,https://www.cian.ru/sale/flat/298409167/,Москва,sale,flat,14,21,2,60.0,64276729,Пресненский,Лаки жилой квартал,,Улица 1905 года,
ID 112591621,homeowner,https://www.cian.ru/sale/flat/301839935/,Москва,sale,flat,13,45,2,51.0,32300000,Дорогомилово,Кутузовский проезд,16А/1,Фили,River Park Кутузовский
ID 13220074,homeowner,https://www.cian.ru/sale/flat/301434800/,Москва,sale,flat,4,9,2,37.1,13490000,Кузьминки,Зеленодольская ,15К2,Кузьминки,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/298308357/,Москва,sale,flat,12,79,2,61.0,55000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
ID 413522,realtor,https://www.cian.ru/sale/flat/301734987/,Москва,sale,flat,9,14,2,99.71,101800000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
ID 98820,realtor,https://www.cian.ru/sale/flat/301857419/,Москва,sale,flat,6,9,2,40.0,14970000,Южное Тушино,Химкинский бульвар,1,Сходненская,
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/272003903/,Москва,sale,flat,5,6,2,43.0,27999000,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/298050415/,Москва,sale,flat,11,13,2,83.0,100000000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301405653/,Москва,sale,flat,2,5,2,55.1,14700000,Фили-Давыдково, Алексея Свиридова,13К2,Кунцевская,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/301493797/,Москва,sale,flat,9,32,2,63.0,52000000,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
ID 413522,realtor,https://www.cian.ru/sale/flat/301734978/,Москва,sale,flat,8,14,2,100.0,111999000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
BERI,real_estate_agent,https://www.cian.ru/sale/flat/297563187/,Москва,sale,flat,10,14,2,46.3,14990000,Свиблово, Амундсена,16К2,Свиблово,
Юлия Перевозчикова,realtor,https://www.cian.ru/sale/flat/299573102/,Москва,sale,flat,16,78,2,92.0,80000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
ID 108842930,homeowner,https://www.cian.ru/sale/flat/293893419/,Москва,sale,flat,4,37,2,74.7,46500000,Хорошевский,Ленинградский проспект,37/5,ЦСКА,Прайм Парк
Авеню-Мск,real_estate_agent,https://www.cian.ru/sale/flat/300929810/,Москва,sale,flat,4,5,2,42.8,17300000,Фили-Давыдково,Минская ,15К1,Филёвский парк,
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/289779311/,Москва,sale,flat,3,25,2,43.2,18500000,Филевский парк,Береговой проезд,5к2,Фили,Фили Град
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/295467334/,Москва,sale,flat,5,10,2,106.2,70000000,Хамовники, Пречистенка,40/2С4,Парк Культуры,
Эвелина Меняйло,realtor,https://www.cian.ru/sale/flat/301669859/,Москва,sale,flat,3,5,2,43.7,11750000,Щукино,3-й Волоколамский проезд,8К2,Октябрьское поле,
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/300818414/,Москва,sale,flat,8,9,2,55.7,40000000,Тверской,1-я Тверская-Ямская ,28,Белорусская,
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/300652339/,Москва,sale,flat,8,9,2,55.7,40000000,Тверской,1-я Тверская-Ямская ,28,Белорусская,
ИПОМАКС,real_estate_agent,https://www.cian.ru/sale/flat/299166358/,Москва,sale,flat,2,3,2,51.8,7400000,, Борисоглебская Слобода,12к2,Апрелевка,Борисоглебское
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/299509241/,Москва,sale,flat,24,24,2,57.4,39300000,Хорошево-Мневники,Шелепихинская набережная,34к3зд7,Шелепиха,Сердце Столицы
One Click Property,real_estate_agent,https://www.cian.ru/sale/flat/293612862/,Москва,sale,flat,9,9,2,131.6,57000000,Басманный,Нижняя Красносельская ,35С49,Бауманская,Лофтек
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/300183001/,Москва,sale,flat,3,5,2,53.0,6700000,,,43,Подольск,
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/295800676/,Москва,sale,flat,4,17,2,44.5,40000000,Пресненский,Звенигородское шоссе,11,Улица 1905 года,Дизайнерский дом Eleven
